"","year_2"
"1599","2015"
"1600","0"
"1601","2012"
"1602","2019"
"1603","2006"
"1604","2018"
"1605","2016"
"1606","2013"
"1607","2012"
"1608","2007"
"1609","2019"
"1610","0"
"1611","0"
"1612","2015"
"1613","1988"
"1614","0"
"1615","1990"
"1616","2013"
"1617","2012"
"1618","2005"
"1619","1842"
"1620","2017"
"1621","2003"
"1622","1943"
"1623","1833"
"1624","2017"
"1625","0"
"1626","2017"
"1627","1990"
"1628","0"
"1629","1727"
"1630","2017"
"1631","2014"
"1632","1831"
"1633","0"
"1634","0"
"1635","2011"
"1636","0"
"1637","2019"
"1638","2011"
"1639","0"
"1640","1894"
"1641","2010"
"1642","2018"
"1643","2005"
"1644","2019"
"1645","2016"
"1646","2014"
"1647","2019"
"1648","0"
"1649","2016"
"1650","0"
"1651","2015"
"1652","2009"
"1653","0"
"1654","0"
"1655","2009"
"1656","0"
"1657","2019"
"1658","2016"
"1659","2018"
"1660","2013"
"1661","2012"
"1662","2013"
"1663","2019"
"1664","0"
"1665","2019"
"1666","0"
"1667","2014"
"1668","2017"
"1669","2008"
"1670","2014"
"1671","0"
"1672","2017"
"1673","2009"
"1674","2017"
"1675","2004"
"1676","2019"
"1677","2016"
"1678","0"
"1679","2019"
"1680","2018"
"1681","0"
"1682","0"
"1683","0"
"1684","2017"
"1685","1994"
"1686","2018"
"1687","0"
"1688","2017"
"1689","2016"
"1690","2016"
"1691","2012"
"1692","0"
"1693","2006"
"1694","2011"
"1695","2013"
"1696","2000"
"1697","2015"
"1698","2017"
"1699","2010"
"1700","2015"
"1701","2019"
"1702","0"
"1703","2012"
"1704","2014"
"1705","2011"
"1706","2012"
"1707","2017"
"1708","0"
"1709","2017"
"1710","2018"
"1711","2015"
"1712","2013"
"1713","1789"
"1714","2015"
"1715","2015"
"1716","0"
"1717","2011"
"1718","2011"
"1719","1997"
"1720","2017"
"1721","2007"
"1722","2009"
"1723","2006"
"1724","2016"
"1725","2014"
"1726","0"
"1727","0"
"1728","0"
"1729","0"
"1730","2018"
"1731","0"
"1732","0"
"1733","2015"
"1734","2017"
"1735","2002"
"1736","0"
"1737","0"
"1738","2017"
"1739","2016"
"1740","0"
"1741","2008"
"1742","2004"
"1743","2015"
"1744","2004"
"1745","0"
"1746","2008"
"1747","0"
"1748","2018"
"1749","0"
"1750","0"
"1751","2014"
"1752","0"
"1753","2000"
"1754","0"
"1755","2018"
"1756","2018"
"1757","0"
"1758","2014"
"1759","2018"
"1760","2018"
"1761","2019"
"1762","1897"
"1763","2017"
"1764","2018"
"1765","2017"
"1766","2009"
"1767","2001"
"1768","2019"
"1769","0"
"1770","2014"
"1771","2018"
"1772","2018"
"1773","2010"
"1774","2011"
"1775","2017"
"1776","2018"
"1777","2004"
"1778","0"
"1779","1866"
"1780","1960"
"1781","0"
"1782","2019"
"1783","2017"
"1784","0"
"1785","1994"
"1786","1928"
"1787","2018"
"1788","0"
"1789","2016"
"1790","0"
"1791","2017"
"1792","2012"
"1793","2013"
"1794","2003"
"1795","0"
"1796","1988"
"1797","0"
"1798","0"
"1799","0"
"1800","2019"
"1801","2014"
"1802","2019"
"1803","0"
"1804","2011"
"1805","2017"
"1806","0"
"1807","2002"
"1808","2004"
"1809","2016"
"1810","2017"
"1811","2018"
"1812","2009"
"1813","2018"
"1814","2018"
"1815","2006"
"1816","0"
"1817","1892"
"1818","1847"
"1819","0"
"1820","2014"
"1821","2008"
"1822","2016"
"1823","2004"
"1824","2016"
"1825","2013"
"1826","2003"
"1827","2017"
"1828","0"
"1829","2018"
"1830","0"
"1831","0"
"1832","2017"
"1833","2016"
"1834","2015"
"1835","0"
"1836","2007"
"1837","2006"
"1838","2016"
"1839","2013"
"1840","2001"
"1841","0"
"1842","2013"
"1843","2013"
"1844","2019"
"1845","2016"
"1846","0"
"1847","2013"
"1848","1916"
"1849","2002"
"1850","1996"
"1851","2019"
"1852","2014"
"1853","2016"
"1854","2007"
"1855","2017"
"1856","2015"
"1857","2012"
"1858","2017"
"1859","1859"
"1860","2012"
"1861","0"
"1862","0"
"1863","0"
"1864","2013"
"1865","2013"
"1866","2012"
"1867","0"
"1868","2015"
"1869","2010"
"1870","2009"
"1871","2015"
"1872","2015"
"1873","2016"
"1874","2017"
"1875","2012"
"1876","1939"
"1877","2011"
"1878","0"
"1879","0"
"1880","2017"
"1881","0"
"1882","2018"
"1883","2013"
"1884","2019"
"1885","2019"
"1886","2019"
"1887","2015"
"1888","2009"
"1889","2019"
"1890","2016"
"1891","2016"
"1892","2010"
"1893","2013"
"1894","2013"
"1895","2005"
"1896","2013"
"1897","2013"
"1898","0"
"1899","2016"
"1900","2014"
"1901","2017"
"1902","2013"
"1903","1985"
"1904","0"
"1905","2012"
"1906","0"
"1907","2016"
"1908","2010"
"1909","2016"
"1910","0"
"1911","2014"
"1912","2017"
"1913","2006"
"1914","0"
"1915","0"
"1916","1982"
"1917","1883"
"1918","1982"
"1919","2019"
"1920","2004"
"1921","1999"
