"genres","agreg_genres"
"Развитие психики","Психология"
"Семейная психология","Психология"
"Состояния и явления психики","Психология"
"Тимбилдинг","Психология"
"Истории из жизни","Публицистика"
"Зарубежная публицистика","Публицистика"
"Критика","Публицистика"
"Публицистика","Публицистика"
"Комиксы / манга","Развлечения"
"Развлечения","Развлечения"
"Фанфик","Развлечения"
"Акафисты","Религия"
"Богословие","Религия"
"Вероучения в буддизме","Религия"
"Воскресная школа","Религия"
"Даосизм / конфуцианство","Религия"
"Дзэн-буддизм","Религия"
"Духовная литература","Религия"
"Житийная литература","Религия"
"Зарубежная религиозная и эзотерическая литература","Религия"
"Зарубежная религиозная литература","Религия"
"Индийские религии","Религия"
"Ислам / мусульманство","Религия"
"История православной церкви","Религия"
"Иудаизм","Религия"
"Католицизм","Религия"
"Книги для священнослужителей","Религия"
"Коран / пророки","Религия"
"Молитвы в исламе","Религия"
"Паломничество","Религия"
"Православие","Религия"
"Православие для детей","Религия"
"Православная медицина","Религия"
"Православные календари","Религия"
"Православные каноны","Религия"
"Православные молитвы","Религия"
"Православные традиции","Религия"
"Религии / верования / культы","Религия"
"Религиоведение / история религий","Религия"
"Религиозные тексты","Религия"
"Священное Писание","Религия"
"Современные религиозные течения","Религия"
"Тибетский буддизм","Религия"
"Христианство","Религия"
"Безопасность жизнедеятельности","Руководства"
"Руководства","Руководства"
"Орфографические словари","Русский язык"
"Русский язык","Русский язык"
"Русский язык как иностранный","Русский язык"
"Терминологические словари","Русский язык"
"Толковые словари","Русский язык"
"Интеллектуальные игры","Саморазвитие"
"Логика","Саморазвитие"
"Практикумы","Саморазвитие"
"Саморазвитие","Саморазвитие"
"Саморазвитие / личностный рост","Саморазвитие"
"Самоучители","Саморазвитие"
"Советы от гуру","Саморазвитие"
"Сказки","Сказки"
"Легкая проза","Современная литература"
"Советская литература","Современная литература"
"Современная зарубежная литература","Современная литература"
"Современная русская литература","Современная литература"
"Бытовые справочники","Справочники"
"Другие словари","Справочники"
"Другие справочники","Справочники"
"Зарубежная справочная литература","Справочники"
"Популярные справочники","Справочники"
"Справочная литература","Справочники"
"Античная литература","Старинная литература"
"Древневосточная литература","Старинная литература"
"Древнерусская литература","Старинная литература"
"Европейская старинная литература","Старинная литература"
"Зарубежная старинная литература","Старинная литература"
"Мифы / легенды / эпос","Старинная литература"
"Старинная литература","Старинная литература"
"Фольклор","Старинная литература"
"Радиолокация","Техническая литература"
"Радиотехника","Техническая литература"
"Техническая литература","Техническая литература"
"Электрическая связь","Техническая литература"
"Электроника","Техническая литература"
"Электроэнергетика","Техническая литература"
"Автотранспорт","Транспорт"
"Водный транспорт","Транспорт"
"Воздушный транспорт","Транспорт"
"Железнодорожный транспорт","Транспорт"
"Космический транспорт","Транспорт"
"Триллеры","Триллеры"
"Ужасы","Ужасы"
"Боевая фантастика","Фантастика"
"Героическая фантастика","Фантастика"
"Детективная фантастика","Фантастика"
"Зарубежная фантастика","Фантастика"
"Историческая фантастика","Фантастика"
"Киберпанк","Фантастика"
"Классика фантастики","Фантастика"
"Космическая фантастика","Фантастика"
"Любовно-фантастические романы","Фантастика"
"Научная фантастика","Фантастика"
"Попаданцы","Фантастика"
"Социальная фантастика","Фантастика"
"Стимпанк","Фантастика"
"Юмористическая фантастика","Фантастика"
"Книги про вампиров","Фэнтези"
"Книги про волшебников","Фэнтези"
"Магические академии","Фэнтези"
"Боевое фэнтези","Фэнтези"
"Любовное фэнтези","Фэнтези"
"Русское фэнтези","Фэнтези"
"Фэнтези про драконов","Фэнтези"
"Юмористическое фэнтези","Фэнтези"
"Героическое фэнтези","Фэнтези"
"Городское фэнтези","Фэнтези"
"Детективное фэнтези","Фэнтези"
"Зарубежное фэнтези","Фэнтези"
"Историческое фэнтези","Фэнтези"
"Классика фэнтези","Фэнтези"
"Книги о путешествиях","Хобби"
"Косметика и косметология","Хобби"
"Мода и стиль","Хобби"
"Отдых / туризм","Хобби"
"Охота","Хобби"
"Парикмахерское дело","Хобби"
"Прически / уход за волосами","Хобби"
"Путеводители","Хобби"
"Рукоделие и ремесла","Хобби"
"Рыбалка","Хобби"
"Сделай сам","Хобби"
"Танцы","Хобби"
"Фэншуй / фэн-шуй","Хобби"
"Хобби / увлечения","Хобби"
" образцы","Школьная программа"
"Биология 9 класс","Школьная программа"
"Внеклассное чтение","Школьная программа"
"География 7 класс","Школьная программа"
"География 9 класс","Школьная программа"
"ГИА по биологии (ОГЭ","Школьная программа"
"ГИА по географии (ОГЭ","Школьная программа"
"ГИА по иностранному языку (ОГЭ","Школьная программа"
"ГИА по истории (ОГЭ","Школьная программа"
"ГИА по литературе (ОГЭ","Школьная программа"
"ГИА по обществознанию (ОГЭ","Школьная программа"
"ГИА по химии (ОГЭ","Школьная программа"
" ГВЭ)","Школьная программа"
"ЕГЭ по биологии","Школьная программа"
"ЕГЭ по иностранному языку","Школьная программа"
"ЕГЭ по истории","Школьная программа"
"ЕГЭ по литературе","Школьная программа"
"ЕГЭ по обществознанию","Школьная программа"
"ЕГЭ по русскому языку","Школьная программа"
"Задачники","Школьная программа"
"Иностранный язык 9 класс","Школьная программа"
"Литература 10 класс","Школьная программа"
"Литература 11 класс","Школьная программа"
"Литература 5 класс","Школьная программа"
"Литература 6 класс","Школьная программа"
"Литература 7 класс","Школьная программа"
"Литература 8 класс","Школьная программа"
"Литература 9 класс","Школьная программа"
"Математика","Школьная программа"
"Математика 1 класс","Школьная программа"
"Математика 2 класс","Школьная программа"
"Математика 3 класс","Школьная программа"
"Обществознание 10 класс","Школьная программа"
"Обществознание 11 класс","Школьная программа"
"Обществознание 9 класс","Школьная программа"
"Рабочие тетради / прописи","Школьная программа"
"Русский язык 1 класс","Школьная программа"
"Русский язык 2 класс","Школьная программа"
"Русский язык 3 класс","Школьная программа"
"Русский язык 4 класс","Школьная программа"
"Список школьной литературы 10-11 класс","Школьная программа"
"Список школьной литературы 5-6 класс","Школьная программа"
"Список школьной литературы 7-8 класс","Школьная программа"
"Список школьной литературы 9 класс","Школьная программа"
"Химия 9 класс","Школьная программа"
"Чтение 3 класс","Школьная программа"
"Чтение 4 класс","Школьная программа"
"Школьные методические пособия","Школьная программа"
"Школьные учебники по английскому языку","Школьная программа"
"Школьные учебники по биологии","Школьная программа"
"Школьные учебники по истории","Школьная программа"
"Школьные учебники по литературе","Школьная программа"
"Школьные учебники по музыке","Школьная программа"
"Школьные учебники по обществознанию","Школьная программа"
"Школьные учебники по русскому языку","Школьная программа"
"Школьные учебники по французскому языку","Школьная программа"
"Школьные учебники по чистописанию","Школьная программа"
"Школьные учебники по чтению","Школьная программа"
"Зарубежная эзотерическая литература","Эзотерика"
"Практическая эзотерика","Эзотерика"
"Эзотерика / оккультизм","Эзотерика"
"Внешнеэкономическая деятельность","Экономика"
"История экономики","Экономика"
"История экономических учений","Экономика"
"Книги по экономике","Экономика"
"Макроэкономика","Экономика"
"Микроэкономика","Экономика"
"Мировая экономика","Экономика"
"Общая экономическая теория","Экономика"
"Отраслевая и межотраслевая экономика","Экономика"
"Технический анализ","Экономика"
"экономика","Экономика"
"Экономика развивающихся стран","Экономика"
"Экономика развитых стран","Экономика"
"Экономическая статистика","Экономика"
"Экономический анализ","Экономика"
"Экономическое развитие","Экономика"
"Эксплуатация промышленного оборудования","Экономика"
"Секс / секс-руководства","Эротическая литература"
"Эротика ЛГБТ","Эротическая литература"
"Эротическая литература","Эротическая литература"
"Эротические рассказы и истории","Эротическая литература"
"Эротические романы","Эротическая литература"
"Эротическое фэнтези","Эротическая литература"
"Анекдоты","Юмор"
"Афоризмы и цитаты","Юмор"
"Зарубежный юмор","Юмор"
"Юмор и сатира","Юмор"
"Юмористическая проза","Юмор"
"Юмористические стихи","Юмор"
"Юридические журналы","Юмор"
"Адвокатура","Юриспруденция"
"Административное право","Юриспруденция"
"Акционерное право","Юриспруденция"
"Арбитражное процессуальное право","Юриспруденция"
"Гражданский кодекс РФ","Юриспруденция"
"Гражданское право","Юриспруденция"
"Гражданское процессуальное право","Юриспруденция"
"Делопроизводство","Юриспруденция"
" жалобы","Юриспруденция"
"Жилищный кодекс РФ","Юриспруденция"
"Законы и постановления","Юриспруденция"
"Земельное право","Юриспруденция"
"Земельный кодекс РФ","Юриспруденция"
"История права","Юриспруденция"
"Коммерческое право","Юриспруденция"
"Конституционное право","Юриспруденция"
"Конституция РФ","Юриспруденция"
"Криминалистика","Юриспруденция"
"Криминология","Юриспруденция"
"Международное право","Юриспруденция"
"Муниципальное право","Юриспруденция"
"Налоговое право","Юриспруденция"
"Налоговый кодекс РФ","Юриспруденция"
"Нормативная документация","Юриспруденция"
"Нормативные правовые акты","Юриспруденция"
"Органы юстиции","Юриспруденция"
"Правоведение","Юриспруденция"
"Предпринимательское право","Юриспруденция"
"Российская практика","Юриспруденция"
"Семейное право","Юриспруденция"
"Судебное право","Юриспруденция"
"Таможенное право","Юриспруденция"
"Теория государства и права","Юриспруденция"
"Трудовое право","Юриспруденция"
"Трудовой кодекс РФ","Юриспруденция"
"Уголовное право","Юриспруденция"
"Уголовно-исполнительное право","Юриспруденция"
"Уголовно-процессуальное право","Юриспруденция"
"Уголовно-процессуальный кодекс РФ","Юриспруденция"
"Уголовный кодекс РФ","Юриспруденция"
"Финансовое право","Юриспруденция"
"Юриспруденция","Юриспруденция"
